cycle,team,fish,x,z,heading,speed,assigned,pushing,wpCount,wpIdx,distToWp,tcode,vcode,stuck,note
10,1,0,-1321,12,-0.037,68.6,1,0,5,3,1142,3,5,0,
20,1,0,-1245,-7,-0.204,96.9,1,0,5,3,1105,3,5,0,
30,1,0,-1164,-29,-0.489,85.6,1,0,5,2,306,0,3,0,
40,1,0,-1054,-47,-0.801,73.5,1,0,5,2,456,1,3,0,
50,1,0,-1047,-139,-1.107,69.8,1,0,5,2,423,2,3,0,
60,1,0,-1007,-193,-1.428,69.8,1,0,5,2,468,2,3,0,
70,1,0,-1030,-242,-1.533,69.8,1,0,5,2,457,2,3,0,
80,1,0,-1046,-307,-1.772,69.8,1,0,5,2,464,3,3,0,
90,1,0,-1002,-346,-2.062,69.8,1,0,5,2,512,4,3,0,
100,1,0,-1065,-394,-2.248,69.8,1,0,5,2,405,5,3,0,
110,1,0,-1091,-419,-2.369,69.8,1,0,5,2,419,5,3,0,
120,1,0,-1137,-487,-2.496,69.8,1,0,5,2,333,5,3,0,
130,1,0,-1151,-529,-2.577,69.8,1,0,5,2,319,5,3,0,
140,1,0,-1201,-537,-2.590,69.8,1,0,5,2,269,5,3,0,
150,1,0,-1285,-562,-2.723,69.8,1,0,5,3,588,9,3,0,
160,1,0,-1346,-585,-2.674,69.8,1,0,5,3,522,9,3,0,
170,1,0,-1371,-634,-2.610,69.8,1,0,5,3,467,9,3,0,
180,1,0,-1448,-638,-2.536,69.8,1,0,5,3,446,9,3,0,
190,1,0,-1458,-690,-2.467,69.8,1,0,5,3,394,9,3,0,
200,1,0,-1483,-694,-2.303,69.8,1,0,4,2,426,9,3,0,
210,1,0,-1537,-730,-2.202,69.8,1,0,5,3,357,9,3,0,
220,1,0,-1585,-818,-2.149,69.8,1,0,5,3,286,10,3,0,
230,1,0,-1593,-879,-2.047,69.8,1,0,5,3,270,9,3,0,
240,1,0,-1634,-918,-1.932,69.8,1,0,5,4,253,10,3,0,
250,1,0,-1591,-965,-1.848,69.8,1,0,5,4,189,9,3,0,
260,1,0,-1638,-1034,-1.633,69.8,1,0,5,4,176,10,3,0,
270,1,0,-1612,-1149,-1.512,215.1,1,1,-2,-2,287,12,14,0,
280,1,0,-1620,-1409,-1.279,275.0,1,1,-2,-2,432,12,14,0,
290,1,0,-1482,-1397,-0.966,295.8,1,1,-2,-2,381,11,14,0,
300,1,0,-1267,-1400,-1.128,303.1,1,1,-2,-2,353,12,14,0,
310,1,0,-1102,-1421,-0.717,180.4,1,0,5,2,369,1,3,0,
320,1,0,-1001,-1404,-0.809,106.6,1,0,5,2,469,1,3,0,
330,1,0,-983,-1372,-1.070,80.8,1,0,5,2,488,2,3,0,
340,1,0,-937,-1359,-1.293,71.8,1,0,5,2,535,2,3,0,
350,1,0,-914,-1412,-1.527,69.8,1,0,5,2,556,3,3,0,
360,1,0,-917,-1394,-1.852,69.8,1,0,5,2,553,4,3,0,
370,1,0,-960,-1413,-1.998,69.8,1,0,5,2,510,4,3,0,
380,1,0,-949,-1388,-2.037,69.8,1,0,5,2,521,4,3,0,
390,1,0,-955,-1419,-2.313,69.8,1,0,5,2,515,5,3,0,
400,1,0,-1024,-1415,-2.257,69.8,1,0,5,2,446,5,3,0,
410,1,0,-1080,-1419,-2.429,69.8,1,0,5,2,390,5,3,0,
420,1,0,-1119,-1428,-2.523,69.8,1,0,0,0,-1,3,3,0,
430,1,0,-1167,-1450,-2.715,69.8,1,0,0,0,-1,3,3,0,
440,1,0,-1219,-1457,-2.900,69.8,1,0,0,0,-1,3,3,0,
450,1,0,-1284,-1469,-3.015,69.8,1,0,0,0,-1,3,3,0,
460,1,0,-1348,-1419,3.087,69.8,1,0,5,3,375,4,3,0,
470,1,0,-1391,-1377,2.927,69.8,1,0,5,3,320,5,3,0,
480,1,0,-1462,-1341,2.693,69.8,1,0,5,3,265,5,3,0,
490,1,0,-1477,-1291,2.565,69.8,1,0,5,4,171,4,3,0,
500,1,0,-1547,-1271,2.458,69.8,1,0,5,4,169,4,3,0,
510,1,0,-1573,-1242,2.295,134.1,1,1,-2,-2,298,2,14,0,
520,1,0,-1697,-1086,2.006,246.7,1,1,-2,-2,346,2,14,0,
530,1,0,-1826,-810,1.972,286.0,1,1,-2,-2,510,2,14,0,
540,1,0,-1878,-555,1.677,299.7,1,1,-2,-2,726,2,14,0,
550,1,0,-1951,-233,1.539,304.4,1,1,-2,-2,982,2,14,0,
560,1,0,-1820,8,0.655,305.5,1,1,-2,-2,1169,4,14,0,
570,1,0,-1627,206,0.892,246.9,1,0,5,3,1291,1,6,0,
580,1,0,-1448,352,0.713,175.9,1,0,5,3,1433,1,7,0,
590,1,0,-1347,411,0.332,161.6,1,0,5,3,1536,2,7,0,
600,1,0,-1155,471,0.132,156.7,1,0,5,3,1591,2,7,0,
610,1,0,-1022,476,-0.236,119.5,1,0,5,2,488,0,3,0,
620,1,0,-941,401,-0.591,85.3,1,0,5,2,530,0,3,0,
630,1,0,-854,361,-0.799,74.9,1,0,5,2,621,1,3,0,
640,1,0,-844,330,-1.194,74.9,1,0,5,2,666,2,3,0,
650,1,0,-799,286,-1.456,74.9,1,0,5,2,715,2,3,0,
660,1,0,-837,205,-1.668,74.9,1,0,5,2,674,3,3,0,
670,1,0,-792,163,-1.897,74.9,1,0,5,2,723,4,3,0,
680,1,0,-811,79,-2.067,74.9,1,0,5,2,717,4,3,0,
690,1,0,-878,34,-2.212,74.9,1,0,5,2,665,4,3,0,
700,1,0,-926,58,-2.350,74.9,1,0,5,2,612,4,3,0,
710,1,0,-981,5,-2.491,74.9,1,0,5,2,578,4,3,0,
720,1,0,-982,4,-2.574,74.9,1,0,5,2,488,6,3,0,
730,1,0,-1060,50,-2.641,74.9,1,0,5,2,413,6,3,0,
740,1,0,-1107,45,-2.849,74.9,1,0,5,2,366,7,3,0,
750,1,0,-1156,9,-2.777,74.9,1,0,5,2,314,6,3,0,
760,1,0,-1251,-1,-2.828,78.6,1,0,5,3,1101,10,5,0,
770,1,0,-1300,4,-2.805,100.4,1,0,5,3,1097,10,5,0,
780,1,0,-1365,-30,-2.708,107.9,1,0,5,3,1055,10,5,0,
790,1,0,-1461,10,-2.622,107.9,1,0,5,3,1090,10,5,0,
800,1,0,-1563,-39,-2.568,107.9,1,0,5,3,1045,10,5,0,
810,1,0,-1639,-86,-2.471,107.9,1,0,5,3,1008,10,5,0,
820,1,0,-1739,-134,-2.322,103.2,1,0,5,3,983,10,4,0,
830,1,0,-1787,-189,-2.076,99.8,1,0,5,3,945,9,4,0,
840,1,0,-1790,-277,-2.013,99.3,1,0,5,3,864,9,4,0,
850,1,0,-1860,-361,-2.059,96.1,1,0,5,3,818,10,4,0,
860,1,0,-1882,-398,-1.880,81.8,1,0,5,3,797,9,3,0,
870,1,0,-1870,-474,-1.827,72.2,1,0,5,3,726,9,3,0,
880,1,0,-1908,-560,-1.741,70.1,1,0,5,2,398,11,3,0,
890,1,0,-1905,-641,-1.531,70.1,1,0,5,2,442,11,3,0,
900,1,0,-1894,-717,-1.347,70.1,1,0,5,2,452,11,3,0,
910,1,0,-1910,-766,-1.159,70.1,1,0,5,2,486,11,3,0,
920,1,0,-1896,-800,-0.971,70.1,1,0,5,2,489,11,3,0,
930,1,0,-1853,-846,-0.864,70.1,1,0,5,2,478,11,3,0,
940,1,0,-1799,-868,-0.577,70.1,1,0,5,2,329,8,3,0,
950,1,0,-1736,-948,-0.457,70.1,1,0,5,2,275,9,3,0,
960,1,0,-1667,-932,-0.387,70.1,1,0,5,4,255,6,3,0,
970,1,0,-1592,-950,-0.528,70.1,1,0,5,4,187,6,3,0,
980,1,0,-1559,-1008,-0.461,70.1,1,0,5,4,123,6,3,0,
990,1,0,-1536,-988,-0.533,70.1,1,0,5,4,122,6,3,0,
1000,1,0,-1485,-994,-0.605,70.1,1,0,5,4,95,5,3,0,
1010,1,0,-1452,-1030,-0.611,70.1,1,0,4,3,88,4,3,0,
1020,1,0,-1411,-1024,-0.717,70.1,1,0,5,4,130,5,3,0,
1030,1,0,-1414,-1070,-0.799,70.1,1,0,5,4,84,5,3,0,
1040,1,0,-1326,-1076,-0.986,70.1,1,0,4,3,125,5,3,0,
1050,1,0,-1313,-1201,-1.124,193.7,1,1,-2,-2,107,11,14,0,
1060,1,0,-1199,-1371,-0.669,267.5,1,1,-2,-2,232,10,14,0,
1070,1,0,-965,-1436,-0.637,228.2,1,0,5,3,439,15,3,0,
1080,1,0,-814,-1462,-0.370,123.2,1,0,0,0,-1,14,3,0,
1090,1,0,-756,-1441,-0.103,86.6,1,0,0,0,-1,13,3,0,
1100,1,0,-724,-1401,0.253,73.8,1,0,0,0,-1,13,3,0,
1110,1,0,-697,-1345,0.600,69.9,1,0,0,0,-1,12,3,0,
1120,1,0,-647,-1276,0.921,69.9,1,0,5,2,625,13,3,0,
1130,1,0,-680,-1175,1.154,69.9,1,0,5,2,608,13,3,0,
1140,1,0,-636,-1115,1.436,69.9,1,0,5,2,666,12,3,0,
1150,1,0,-648,-1019,1.834,69.9,1,0,5,2,691,11,3,0,
1160,1,0,-728,-916,2.095,69.9,1,0,5,2,676,11,3,0,
1170,1,0,-773,-880,2.305,69.9,1,0,5,2,663,11,3,0,
1180,1,0,-883,-860,2.674,69.9,1,0,5,2,601,10,3,0,
1190,1,0,-956,-800,2.835,69.9,1,0,5,2,608,10,3,0,
1200,1,0,-1017,-796,3.053,69.9,1,0,5,2,582,10,3,0,
1210,1,0,-1048,-802,-3.074,69.9,1,0,5,2,563,10,3,0,
1220,1,0,-1141,-816,-2.916,69.9,1,0,5,2,520,10,3,0,
1230,1,0,-1171,-810,-2.780,69.9,1,0,5,2,520,10,3,0,
1240,1,0,-1253,-813,-2.743,69.9,1,0,5,2,507,10,3,0,
1250,1,0,-1327,-837,-2.481,69.9,1,0,5,2,486,10,3,0,
1260,1,0,-1355,-858,-2.478,69.9,1,0,5,2,470,10,3,0,
1270,1,0,-1378,-879,-2.356,69.9,1,0,5,2,454,10,3,0,
1280,1,0,-1418,-949,-2.072,69.9,1,0,5,2,400,9,3,0,
1290,1,0,-1414,-994,-2.053,69.9,1,0,5,2,356,9,3,0,
1300,1,0,-1475,-1026,-1.948,69.9,1,0,5,2,359,10,3,0,
1310,1,0,-1439,-1064,-1.808,69.9,1,0,5,4,222,11,3,0,
1320,1,0,-1451,-1124,-1.659,69.9,1,0,5,4,222,11,3,0,
1330,1,0,-1420,-1209,-1.515,151.5,1,1,-2,-2,332,12,14,0,
